name,r,g,b,canvas_x,canvas_y,font_size,link
deep swedish rock,200,107,22,356,3564,100,engenremap-deepswedishrock.html
pakistani pop,127,135,33,692,8019,101,engenremap-pakistanipop.html
axe,188,125,3,868,4358,105,engenremap-axe.html
desert blues,146,141,44,929,6055,100,engenremap-desertblues.html
dutch punk,222,83,31,307,3925,100,engenremap-dutchpunk.html
family gospel,119,145,10,547,7070,100,engenremap-familygospel.html
latin surf rock,207,113,162,384,4338,100,engenremap-latinsurfrock.html
pinoy pop punk,208,105,14,346,3738,102,engenremap-pinoypoppunk.html
blackgaze,180,94,155,103,4892,100,engenremap-blackgaze.html
chinese metal,216,87,72,237,2591,100,engenremap-chinesemetal.html
deep cumbia sonidera,165,141,7,1093,4876,102,engenremap-deepcumbiasonidera.html
deathgrind,233,53,129,142,4858,101,engenremap-deathgrind.html
oulu metal,220,89,77,164,3538,100,engenremap-oulumetal.html
belfast metal,216,92,63,180,4277,100,engenremap-belfastmetal.html
australian black metal,200,60,162,28,5493,100,engenremap-australianblackmetal.html
kent indie,171,120,42,599,4900,100,engenremap-kentindie.html
dutch house,211,121,97,975,924,104,engenremap-dutchhouse.html
gamecore,180,134,113,785,2078,100,engenremap-gamecore.html
theremin,90,150,147,408,7826,100,engenremap-theremin.html
asmr,78,9,184,112,6254,103,engenremap-asmr.html
deep progressive trance,185,131,143,919,1150,100,engenremap-deepprogressivetrance.html
filter house,190,128,97,965,1076,105,engenremap-filterhouse.html
lithuanian pop,152,132,45,798,3687,101,engenremap-lithuanianpop.html
industrial techno,191,136,209,1031,788,100,engenremap-industrialtechno.html
world meditation,59,136,121,601,8583,101,engenremap-worldmeditation.html
vintage italian soundtrack,80,153,157,394,8528,101,engenremap-vintageitaliansoundtrack.html
puglia indie,169,134,69,604,2678,100,engenremap-pugliaindie.html
indietronica,172,132,73,629,2336,113,engenremap-indietronica.html
healing,89,123,162,315,7597,103,engenremap-healing.html
experimental dubstep,190,130,147,1067,898,100,engenremap-experimentaldubstep.html
football,168,79,101,437,7303,100,engenremap-football.html
brain waves,49,64,188,91,6169,101,engenremap-brainwaves.html
electroacoustic improvisation,90,116,126,388,8454,100,engenremap-electroacousticimprovisation.html
classical percussion,54,158,169,689,9260,100,engenremap-classicalpercussion.html
digital hardcore,212,81,102,402,2194,100,engenremap-digitalhardcore.html
cinematic dubstep,168,137,131,1057,1852,100,engenremap-cinematicdubstep.html
